Filename,Run_ID,Coverage,Time(s),Verified_Coverage
example1.py,1,100.00,6.43,100.00
example1.py,2,92.86,4.10,92.86
example1.py,3,100.00,7.11,100.00
example1.py,4,92.86,35.90,92.86
example1.py,5,100.00,5.86,100.00
example2.py,1,100.00,6.56,100.00
example2.py,2,100.00,36.22,100.00
example2.py,3,100.00,4.39,100.00
example2.py,4,0.00,36.24,0.00
example2.py,5,0.00,35.99,0.00
example3.py,1,77.78,36.31,77.78
example3.py,2,0.00,36.00,0.00
example3.py,3,0.00,36.32,0.00
example3.py,4,0.00,36.55,0.00
example3.py,5,0.00,36.22,0.00
example4.py,1,100.00,4.45,100.00
example4.py,2,100.00,5.69,100.00
example4.py,3,100.00,9.82,100.00
example4.py,4,100.00,4.36,100.00
example4.py,5,100.00,3.07,100.00
example5.py,1,0.00,36.40,0.00
example5.py,2,100.00,36.15,100.00
example5.py,3,0.00,36.17,0.00
example5.py,4,0.00,36.40,0.00
example5.py,5,100.00,7.17,100.00
example6.py,1,100.00,7.21,100.00
example6.py,2,100.00,6.21,100.00
example6.py,3,100.00,4.78,100.00
example6.py,4,100.00,10.35,100.00
example6.py,5,100.00,10.71,100.00
example7.py,1,100.00,80.44,100.00
example7.py,2,0.00,9.36,0.00
example7.py,3,0.00,116.46,0.00
example7.py,4,0.00,116.15,0.00
example7.py,5,0.00,115.28,0.00
bleach_sanitizer.py,1,0.00,47.49,0.00
bleach_sanitizer.py,2,12.84,36.96,12.84
bleach_sanitizer.py,3,0.00,36.87,0.00
bleach_sanitizer.py,4,0.00,37.03,0.00
bleach_sanitizer.py,5,0.00,36.95,0.00
cmd.py,1,55.23,8.39,55.23
cmd.py,2,42.26,6.75,42.26
cmd.py,3,20.50,12.18,20.50
cmd.py,4,42.26,9.96,42.26
cmd.py,5,50.63,7.84,50.63
colorsys.py,1,88.35,20.38,88.35
colorsys.py,2,88.35,25.26,88.35
colorsys.py,3,88.35,20.67,88.35
colorsys.py,4,66.02,29.01,66.02
colorsys.py,5,0.00,36.60,0.00
copy.py,1,76.00,14.24,76.00
copy.py,2,72.00,10.04,72.00
copy.py,3,75.33,13.86,75.33
copy.py,4,76.67,17.98,76.67
copy.py,5,76.00,13.47,76.00
graphlib.py,1,89.19,14.97,89.19
graphlib.py,2,90.99,14.64,90.99
graphlib.py,3,91.89,36.56,91.89
graphlib.py,4,0.00,36.43,0.00
graphlib.py,5,89.19,15.42,89.19
packaging_version.py,1,0.00,37.48,0.00
packaging_version.py,2,37.88,22.16,37.88
packaging_version.py,3,59.85,31.02,59.85
packaging_version.py,4,0.00,37.07,0.00
packaging_version.py,5,0.00,36.97,0.00
sched.py,1,36.36,14.88,36.36
sched.py,2,98.48,16.22,98.48
sched.py,3,0.00,7.26,0.00
sched.py,4,0.00,10.78,0.00
sched.py,5,0.00,15.52,0.00
shlex.py,1,54.58,18.00,54.58
shlex.py,2,0.00,94.55,0.00
shlex.py,3,0.00,100.80,0.00
shlex.py,4,54.20,24.33,54.20
shlex.py,5,54.58,26.73,54.58
textwrap.py,1,0.00,90.00,0.00
textwrap.py,2,0.00,73.65,0.00
textwrap.py,3,0.00,51.88,0.00
textwrap.py,4,0.00,50.44,0.00
textwrap.py,5,0.00,55.93,0.00
quopri.py,1,19.14,37.30,0.00
quopri.py,2,0.00,37.29,0.00
quopri.py,3,0.00,36.74,0.00
quopri.py,4,0.00,37.18,0.00
quopri.py,5,0.00,37.02,0.00
