Filename,Run_ID,Coverage,Time(s),Verified_Coverage
example1.py,1,100.00,10.52,100.00
example1.py,2,100.00,4.15,100.00
example1.py,3,100.00,8.45,100.00
example1.py,4,100.00,6.46,100.00
example1.py,5,100.00,7.43,100.00
example2.py,1,0.00,2.03,0.00
example2.py,2,0.00,2.04,0.00
example2.py,3,0.00,2.04,0.00
example2.py,4,0.00,2.05,0.00
example2.py,5,0.00,2.05,0.00
example3.py,1,100.00,5.25,100.00
example3.py,2,0.00,90.04,0.00
example3.py,3,100.00,4.30,100.00
example3.py,4,100.00,4.89,100.00
example3.py,5,100.00,5.74,100.00
example4.py,1,100.00,62.70,100.00
example4.py,2,100.00,62.57,100.00
example4.py,3,100.00,62.84,100.00
example4.py,4,100.00,62.60,100.00
example4.py,5,100.00,62.89,100.00
example5.py,1,100.00,12.49,100.00
example5.py,2,100.00,11.22,100.00
example5.py,3,100.00,13.78,100.00
example5.py,4,100.00,26.39,100.00
example5.py,5,100.00,33.35,100.00
example6.py,1,100.00,8.74,100.00
example6.py,2,100.00,9.75,100.00
example6.py,3,100.00,6.62,100.00
example6.py,4,100.00,6.27,100.00
example6.py,5,100.00,5.58,100.00
example7.py,1,100.00,2.63,100.00
example7.py,2,100.00,8.06,100.00
example7.py,3,100.00,5.21,100.00
example7.py,4,100.00,12.60,100.00
example7.py,5,100.00,2.76,100.00
bleach_sanitizer.py,1,0.00,530.04,0.00
bleach_sanitizer.py,2,0.00,530.04,0.00
bleach_sanitizer.py,3,0.00,530.04,0.00
bleach_sanitizer.py,4,0.00,530.03,0.00
bleach_sanitizer.py,5,0.00,530.04,0.00
cmd.py,1,0.00,530.01,0.00
cmd.py,2,0.00,530.02,0.00
cmd.py,3,0.00,530.02,0.00
cmd.py,4,0.00,530.01,0.00
cmd.py,5,0.00,530.02,0.00
colorsys.py,1,99.03,522.29,99.03
colorsys.py,2,97.09,520.33,97.09
colorsys.py,3,100.00,521.47,100.00
colorsys.py,4,97.09,522.60,97.09
colorsys.py,5,97.09,522.84,97.09
copy.py,1,71.33,509.74,71.33
copy.py,2,71.33,508.60,71.33
copy.py,3,71.33,508.41,71.33
copy.py,4,71.33,508.92,71.33
copy.py,5,71.33,508.21,71.33
graphlib.py,1,0.00,530.02,0.00
graphlib.py,2,0.00,530.02,0.00
graphlib.py,3,0.00,530.02,0.00
graphlib.py,4,0.00,530.02,0.00
graphlib.py,5,0.00,530.02,0.00
packaging_version.py,1,0.00,530.02,0.00
packaging_version.py,2,0.00,530.02,0.00
packaging_version.py,3,0.00,530.02,0.00
packaging_version.py,4,0.00,530.02,0.00
packaging_version.py,5,0.00,530.02,0.00
quopri.py,1,29.63,520.56,0.00
quopri.py,2,29.63,521.22,0.00
quopri.py,3,29.63,517.87,0.00
quopri.py,4,29.63,518.87,0.00
quopri.py,5,29.63,518.15,0.00
sched.py,1,0.00,530.02,0.00
sched.py,2,0.00,530.02,0.00
sched.py,3,0.00,530.02,0.00
sched.py,4,0.00,530.02,0.00
sched.py,5,0.00,530.02,0.00
shlex.py,1,0.00,530.03,0.00
shlex.py,2,0.00,530.02,0.00
shlex.py,3,0.00,530.02,0.00
shlex.py,4,0.00,530.04,0.00
shlex.py,5,0.00,530.03,0.00
textwrap.py,1,0.00,3.45,0.00
textwrap.py,2,0.00,3.47,0.00
textwrap.py,3,0.00,3.40,0.00
textwrap.py,4,0.00,3.48,0.00
textwrap.py,5,0.00,3.53,0.00
