Filename,Run_ID,Coverage,Time(s),Verified_Coverage
example1.py,1,100.00,20.83,100.00
example1.py,2,100.00,17.00,100.00
example1.py,3,92.86,16.03,92.86
example1.py,4,92.86,41.97,92.86
example1.py,5,100.00,17.33,100.00
example2.py,1,100.00,18.25,100.00
example2.py,2,100.00,12.41,100.00
example2.py,3,75.00,9.82,75.00
example2.py,4,100.00,7.02,100.00
example2.py,5,100.00,6.17,100.00
example3.py,1,94.44,25.68,94.44
example3.py,2,94.44,13.75,94.44
example3.py,3,94.44,23.54,94.44
example3.py,4,88.89,41.94,88.89
example3.py,5,100.00,33.16,100.00
example4.py,1,100.00,3.97,100.00
example4.py,2,100.00,3.05,100.00
example4.py,3,83.33,14.91,83.33
example4.py,4,100.00,5.99,100.00
example4.py,5,100.00,7.98,100.00
example5.py,1,100.00,59.18,100.00
example5.py,2,100.00,23.50,100.00
example5.py,3,87.50,33.42,87.50
example5.py,4,100.00,25.46,100.00
example5.py,5,87.50,62.47,87.50
example6.py,1,100.00,15.89,100.00
example6.py,2,100.00,14.95,100.00
example6.py,3,91.67,14.19,91.67
example6.py,4,91.67,24.51,91.67
example6.py,5,91.67,14.46,91.67
example7.py,1,100.00,14.63,100.00
example7.py,2,100.00,28.20,100.00
example7.py,3,100.00,3.47,100.00
example7.py,4,100.00,10.28,100.00
example7.py,5,100.00,17.34,100.00
bleach_sanitizer.py,1,60.55,83.41,60.55
bleach_sanitizer.py,2,65.60,88.15,65.60
bleach_sanitizer.py,3,60.55,110.01,60.55
bleach_sanitizer.py,4,60.55,90.68,60.55
bleach_sanitizer.py,5,42.66,118.30,42.66
cmd.py,1,51.88,481.83,51.88
cmd.py,2,37.66,335.25,37.66
cmd.py,3,37.24,395.75,37.24
cmd.py,4,48.12,143.09,48.12
cmd.py,5,51.88,187.95,51.88
colorsys.py,1,87.38,55.46,87.38
colorsys.py,2,89.32,50.92,89.32
colorsys.py,3,86.41,151.35,86.41
colorsys.py,4,85.44,116.68,85.44
colorsys.py,5,83.50,117.27,83.50
copy.py,1,17.33,776.41,17.33
copy.py,2,17.33,454.84,17.33
copy.py,3,17.33,762.82,17.33
copy.py,4,17.33,604.67,17.33
copy.py,5,0.00,288.34,0.00
graphlib.py,1,0.00,45.78,0.00
graphlib.py,2,93.69,62.62,93.69
graphlib.py,3,81.08,110.68,81.08
graphlib.py,4,89.19,109.48,89.19
graphlib.py,5,87.39,119.64,87.39
packaging_version.py,1,37.88,616.62,37.88
packaging_version.py,2,37.88,666.65,37.88
packaging_version.py,3,37.88,687.54,37.88
packaging_version.py,4,37.88,578.13,37.88
packaging_version.py,5,37.88,514.76,37.88
sched.py,1,93.94,41.21,93.94
sched.py,2,98.48,24.58,98.48
sched.py,3,100.00,37.56,100.00
sched.py,4,93.94,44.74,93.94
sched.py,5,0.00,36.72,0.00
shlex.py,1,41.22,167.74,41.22
shlex.py,2,42.75,193.57,42.75
shlex.py,3,46.56,146.54,46.56
shlex.py,4,46.95,115.09,46.95
shlex.py,5,65.27,179.56,65.27
textwrap.py,1,6.29,521.56,6.29
textwrap.py,2,6.29,538.02,6.29
textwrap.py,3,6.29,496.89,6.29
textwrap.py,4,6.29,518.26,6.29
textwrap.py,5,6.29,516.08,6.29
quopri.py,1,39.51,378.89,0.00
quopri.py,2,20.99,290.31,0.00
quopri.py,3,34.57,386.42,0.00
quopri.py,4,18.52,494.59,0.00
quopri.py,5,35.80,247.67,0.00
